matn,cpc
"محصولات کشاورزی، جنگل‌داری و ماهی‌گیری",0
محصولات کشاورزی و باغ‌داری و جالیزکاری,1
غلات,11
گندم,111
"گندم، بذر",1111
"گندم، بذر",1111
"گندم، سایر",1112
گندم استیویوم,1112
گندم بهاره,1112
گندم تریتیکیوم,1112
گندم دوروم,1112
گندم زمستانه,1112
گندم سخت (گندم دوروم),1112
گندم سیاه,1112
گندم قرمز و سفید,1112
گندم معمولی,1112
گندم نرم,1112
ذرت,112
"ذرت، بذر",1121
بذر ذرت ,1121
"ذرت، سایر",1122
ذرت جارویی,1122
ذرت سالادی,1122
ذرت سخت,1122
برنج,113
"برنج، بذر",1131
بذر برنج,1131
"شلتوک برنج، سایر (نکوبیده) ",1132
انواع شلتوک استان گیلان,1132
انواع شلتوک استان مازندران,1132
انواع شلتوک استان‌های مرکزی و جنوبی,1132
سایر انواع شلتوک,1132
شلتوک آمل ,1132
شلتوک پرمحصول,1132
شلتوک حسن‌سرایی,1132
شلتوک خزر,1132
شلتوک دم‌زرد,1132
شلتوک دم‌سرخ ,1132
شلتوک ندا,1132
شلتوک بی‌نام,1132
شلتوک چرام ,1132
شلتوک حسنی,1132
شلتوک ساحل,1132
شلتوک سازندگی,1132
شلتوک سپیدرود,1132
شلتوک صدری درجه دو,1132
شلتوک صدری درجه دو (طارم مولایی),1132
شلتوک صدری درجه یک,1132
شلتوک صدری ممتاز ,1132
شلتوک طارم دیلمانی,1132
شلتوک طارم محلی,1132
شلتوک طارم مولایی ,1132
شلتوک فجر,1132
شلتوک کامفیروز,1132
شلتوک کوهرنگ,1132
شلتوک لنجان,1132
شلتوک نعمت,1132
شلتوک هاشمی درجه یک,1132
شلتوک هراز,1132
شلتوک یاسوج 1,1132
شلتوک یاسوج 2,1132
ذرت خوشه‌ای (سرگوم),114
"ذرت خوشه‌ای، بذر",1141
بذر ذرت خوشه‌ای,1141
"ذرت خوشه‌ای، سایر",1142
ارزن هندی,1142
انواع ذرت سورگوم,1142
دورا,1142
ذرت خوشه‌ای معمولی,1142
ذرت سورگوم,1142
ذرت سورگوم دانه‌ای,1142
ذرت سورگوم دانه‌ای (پیام),1142
ذرت سورگوم دانه‌ای (سپیده),1142
ذرت سورگوم دانه‌ای (کیمیا),1142
ذرت گینه‌ای,1142
ذرت ولگار,1142
سایر ذرت خوشه‌ای ,1142
جو,115
"جو، بذر",1151
بذر جو,1151
"جو، سایر",1152
جو 13 سراسری,1152
جو افضل,1152
جو ایذه,1152
جو بدون پوشینه,1152
جو پروداکتیو,1152
جو جنوب,1152
جو دشت,1152
جو دیستیکیوم,1152
جو ریحان,1152
جو سرارود 1,1152
جو سهند,1152
جو صحرا,1152
جو کارون,1152
جو کارون در کویر,1152
جو کویر,1152
جو ماکویی,1152
جو معمولی ,1152
جو نومار,1152
جو والفجر,1152
جو هاردیوم,1152
هگزاستیکون,1152
چاودار,116
"چاودار، بذر",1161
بذر چاودار,1161
"چاودار، سایر",1162
چاودار,1162
یولاف (جو دوسر),117
"یولاف، بذر",1171
بذر اونا,1171
بذر جو دو سر,1171
بذر یولاف ,1171
"یولاف، سایر",1172
یولاف ,1172
یولاف سفید معمولی ,1172
ارزن,118
"ارزن، بذر",1181
بذر ارزن ,1181
"ارزن، سایر",1182
"ارزن، سایر",1182
سایر غلات,119
سایر غلات,1190
سایر غلات,1190
سبزی‌جات,12
سبزی‌جات برگی یا ساقه‌ای,121
مارچوبه ,1211
مارچوبه ,1211
کلم‌پیچ,1212
کلم برگی ,1212
کلم پیچ,1212
کلم چینی ,1212
کلم سفید,1212
کلم قرمز,1212
کلم گل و کلم گل ایتالیایی (بروکلی),1213
کلم بروکلی,1213
کلم فندوقی (بروکسل),1213
گل‌کلم,1213
گل‌کلم ایتالیایی,1213
کاهو و کاسنی,1214
انواع کاهو,1214
کاسنی فرنگی ,1214
کاهو پیچ ,1214
کاهو مرتعی ,1214
اسفناج,1215
اسفناج ,1215
اسفناج مرتعی ,1215
کنگر فرنگی,1216
انواع کنگر,1216
کنگر,1216
کنگرفرنگی ,1216
سایر سبزی‌جات برگی یا ساقه‌ای,1219
برگ بید,1219
ترخون,1219
ترخون مرتعی ,1219
ترشک ,1219
تره ,1219
جعفری ,1219
جعفری مرتعی ,1219
جعفری فرنگی,1219
چغندر برگ ,1219
خرفه ,1219
ریحان ,1219
ریحان مرتعی ,1219
ریواس ,1219
ریواس مرتعی ,1219
"سبزی‌جات سالادی، به‌جز کاهو و کاسنی ",1219
شاهی ,1219
شاهی آبی ,1219
شاهی مرتعی ,1219
شنبلیله ,1219
شوید مرتعی ,1219
کلم دریایی,1219
گشنیز ,1219
گشنیز مرتعی ,1219
مرزه,1219
مرزه تابستانی و زمستانی ,1219
مرزه مرتعی ,1219
نعناع,1219
نعناع مرتعی ,1219
میوه‌های پرآب   ,122
هندوانه,1221
هندوانه ,1221
هندوانه شریف اباد,1221
هندوانه محبوبی,1221
طالبی و سایر میوه‌های پرآب ,1229
انواع خربزه,1229
خربزه آتشین,1229
خربزه تاشکندی,1229
خربزه خاقانی,1229
خربزه زابلی,1229
خربزه زرد ایوانکی,1229
خربزه شاه‌آبادی,1229
خربزه شیرازی,1229
خربزه قصری,1229
خربزه گرکاب,1229
خربزه گرمساری,1229
خربزه مشهدی,1229
دستنبو,1229
طالبی,1229
طالبی و سایر میوه‌های آب‌دار ,1229
گرمک,1229
سبزی‌جات دارای میوه/ثمر ,123
"فلفل، سبز (فقط دلمه‌ای)",1231
انواع فلفل دلمه‌ای ,1231
فلفل دلمه‌ای,1231
"فلفل، سبز (فقط دلمه‌ای)",1231
خیار و خیار ترشی,1232
انواع خیار,1232
خیار ترشی ,1232
خیار رسمی ,1232
خیار گل‌خانه‌ای ,1232
خیار بوته‌ای,1232
خیار چنبر,1232
بادمجان,1233
انواع بادمجان ,1233
بادمجان دلمه‌ای,1233
بادمجان معمولی,1233
گوجه‌فرنگی ,1234
انواع گوجه‌فرنگی,1234
گوجه‌فرنگی رسمی,1234
گوجه‌فرنگی گل‌خانه‌ای,1234
"کدوتنبل، کدومسمایی و کدوقلیانی",1235
انواع کدو ,1235
کدو تنبل,1235
کدو خورشتی,1235
کدو سبز,1235
کدو قلیانی,1235
کدو مسمایی,1235
سایر سبزی‌جات دارای میوه/ثمر,1239
انواع بامیه,1239
بامیه مرتعی ,1239
توماتیلو,1239
چایوت,1239
کبر (کور),1239
سبزی‌جات از نوع حبوبات سبز,124
"لوبیا، سبز",1241
لوبیا سبز,1241
"نخود، سبز",1242
نخود سبز,1242
نخودفرنگی,1242
سایر حبوبات سبز,1249
باقلا سبز,1249
سایر حبوبات سبز,1249
"سبزی‌جات ریشه‌ای، پیازی یا غده‌ای",125
هویج و شلغم,1251
زردک,1251
شلغم ,1251
شلغم مرتعی,1251
هویج ,1251
سیر سبز,1252
سیر سبز,1252
سیر سبز مرتعی ,1252
پیاز,1253
انواع پیاز,1253
پیاز (خشک),1253
پیاز سفید طارم (خشک),1253
پیاز سفید کاشان (خشک),1253
پیاز سفید بندر,1253
پیاز قرمز ایلخچی,1253
پیاز قرمز آذرشهر (خشک),1253
پیاز مرتعی ,1253
پیازچه ,1253
پیازچه مرتعی ,1253
تره‌فرنگی و سایر سبزی‌جات خانواده سیر,1254
تره‌فرنگی,1254
سایر سبزی‌جات خانوده سیر,1254
سیر خشک,1254
سیر خشک شمال,1254
سیر خشک همدان,1254
"سایر سبزی‌جات ریشه‌ای، پیازی یا غده‌ای، طبقه‌بندی نشده در جای دیگر ",1259
انواع ترب ,1259
ترب سفید ,1259
ترب سیاه ,1259
ترب مرتعی ,1259
تربچه ,1259
تربچه مرتعی ,1259
سبزی‌جات ریشه غده‌ای مرتعی ,1259
کلم قمری ,1259
"بذر سبزی‌جات، به‌جز بذر چغندر",126
"بذر سبزی‌جات، به‌جز بذر چغندر",1260
بذر اسفناج,1260
بذر آندیو,1260
بذر بادمجان,1260
بذر پیاز,1260
بذر ترب,1260
بذر ترخون,1260
بذر تره,1260
بذر جعفری,1260
بذر خیار,1260
بذر ریحان,1260
بذر ریواس,1260
بذر سبزی‌جات ,1260
بذر سبزی‌ها باریک‌برگ,1260
بذر سبزی‌ها پهن‌برگ,1260
بذر سبزی‌ها ریشه غده‌ای,1260
بذر سیر,1260
بذر شاهی,1260
بذر شلغم,1260
بذر شنبلیله,1260
بذر شوید,1260
بذر صیفی‌جات,1260
بذر کاهو,1260
بذر کدو,1260
بذر کرفس,1260
بذر کلم,1260
بذر کنگر,1260
بذر گشنیز,1260
بذر گوجه‌فرنگی,1260
بذر مرزه,1260
بذر نعناع,1260
بذر هویج,1260
قارچ و دنبلان,127
قارچ و دنبلان,1270
انواع قارچ,1270
قارچ دکمه‌ایی,1270
قارچ دنبلان (خودرو),1270
قارچ صدفی,1270
"سبزی‌جات، تازه، طبقه‌بندی نشده در جای دیگر",129
"سبزی‌جات، تازه، طبقه‌بندی نشده در جای دیگر",1290
اسکیرت,1290
برگ کاکتوس,1290
جگن چینی,1290
جوانه سویا,1290
جوانه لوبیا,1290
جیکاما (نوعی سیب‌زمینی شیرین بومی مکزیک),1290
حبوبات (با غلاف سبزشان چیده شوند),1290
"دانه سویا، سبز",1290
ذرت (شیرین) ,1290
ذرت سبز,1290
رازیانه (به‌عنوان سبزی),1290
کرفس (خوردنی),1290
کرفس مرتعی ,1290
میوه‌ها و سخت‎پوسته‌ها,13
میوه‌های گرمسیری و نیمه‌گرمسیری,131
آووکادو,1311
آووکادو ,1311
موز,1312
موز سومالی,1312
موز شیرین ,1312
موز موگادیشو,1312
پلانتین و انواع مشابه,1313
پلانتین,1313
موز پختنی ,1313
خرما,1314
انواع خرما,1314
خارک,1314
خرما ارزق,1314
خرما استعمران,1314
خرما آل مهتری,1314
خرما خاصویی,1314
خرما خضراوی,1314
خرما خلاص,1314
خرما خنیزی,1314
خرما دالکی,1314
خرما درهی,1314
خرما دشتستان,1314
خرما دیری,1314
خرما ربی,1314
خرما زرک,1314
خرما شاهانی,1314
خرما شاه‌محمدی,1314
خرما شهابی,1314
خرما قصب,1314
خرما قلاویی,1314
خرما کبکاب,1314
خرما کروت,1314
خرما لشت,1314
خرما مصلی,1314
خرما مضافتی,1314
خرما هلیلی,1314
رطب,1314
سایر انواع خرما,1314
انجیر ,1315
انجیر پوست‌پیازی,1315
انجیر سبز اصطهبان,1315
انجیر سیاه لرستان,1315
انجیر منجیفی کرمانشاه,1315
انواع انجیر,1315
مانگو,1316
 انبه,1316
 مانگوستان ,1316
گویاو ,1316
پاپایا,1317
پاپایا,1317
آناناس,1318
آناناس,1318
"سایر میوه‌های گرمسیری و نیمه‌گرمسیری، طبقه‌بندی نشده در جای دیگر",1319
آکی,1319
استارفروت ,1319
بیلیمبی,1319
پاپو ,1319
پپینو ,1319
پولاسان,1319
جکفروت ,1319
دوریان ,1319
رامبوتان ,1319
ساپوتا,1319
ساپودیلا ,1319
ساورساپ,1319
سویت ساپ ,1319
فیجووا ,1319
گرانادیلا,1319
لانگسات ,1319
لایچی ,1319
لونگان ,1319
لیچی,1319
ماتا کوسینگ ,1319
میوه گل ساعتی,1319
میوه گل سرخ,1319
میوه نان,1319
نارگیل ,1319
میوه‌های مرکبات,132
 پوملو (دارابی) و گریپ‌فروت,1321
انواع گریپ‌فروت ,1321
پوملو,1321
دارابی ,1321
گریپ‌فروت توسرخ,1321
گریپ‌فروت توسفید,1321
لیمو شیرین و لیمو ترش,1322
انواع لیموترش,1322
انواع لیموشیرین,1322
لیموترش (اورکا),1322
لیموترش (شیراز),1322
لیموترش (لیسبون),1322
لیموشیرین,1322
پرتقال,1323
انواع پرتقال,1323
پرتقال,1323
پرتقال (والنسیا),1323
پرتقال تامسون (ناول),1323
پرتقال تلخ ,1323
پرتقال توسرخ,1323
پرتقال واشنگتن (ناول),1323
پرتقال هاملین,1323
"نارنگی، نارنگی یافا",1324
انواع نارنگی,1324
نارنگی ,1324
نارنگی (انشو),1324
نارنگی (پیچ),1324
نارنگی (سیاهو),1324
نارنگی (کلماتین),1324
نارنگی (کینو),1324
نارنگی (محلی),1324
نارنگی یافا میوه ,1324
"سایر میوه‌های مرکبات، طبقه‌بندی نشده در جای دیگر ",1329
بادرنگ,1329
بالنگ (ترنج),1329
پرتقال چینی (کوم کوات),1329
ترنج ,1329
چینوتو ,1329
سایر مرکبات ,1329
میوه درخت پرتقال برگ موردی,1329
نارنج ,1329
انگور,133
انگور,1330
انگور,1330
انگور بی‌دانه سفید,1330
انگور بی‌دانه سیاه ,1330
انگور بی‌دانه فرنگی ,1330
انگور بی‌دانه قرمز  ,1330
انگور بی‌دانه (کارنت),1330
انگور بی‌دانه (گوزبری),1330
انگور پیکانی,1330
انگور شاهانی,1330
انگور شاهرودی,1330
انگور عسگری,1330
انگور کشمشی,1330
توت‌مانندها (سته‌ها) و میوه‌های جنس قره‌قاط ,134
انگور فرنگی (انواع کارنت و گوزبری),1341
انگور فرنگی سفید,1341
انگور فرنگی سیاه,1341
انگور فرنگی قرمز ,1341
کارنت,1341
گوزبری,1341
کیوی,1342
کیوی,1342
کیوی چینی,1342
"تمشک، تمشک سیاه، توت، توت سیاه، شاه‌توت و تمشک آمریکایی (تمشک کالیفرنیا)",1343
انواع توت جنگلی,1343
انواع توت درختی,1343
تمشک,1343
تمشک آمریکایی ,1343
تمشک سیاه ,1343
توت ,1343
توت سفید,1343
توت سیاه,1343
سایر انواع توت,1343
شاه‌توت ,1343
توت‌فرنگی,1344
انواع توت‌فرنگی,1344
توت‌فرنگی اتابکی,1344
توت‌فرنگی سلوا,1344
توت‌فرنگی شمیرانی,1344
توت‌فرنگی کاماراسو,1344
توت‌فرنگی کردستان,1344
توت‌فرنگی گل‌خانه‌ای,1344
سایر انواع توت‌فرنگی,1344
"سایر توت‌مانندها و میوه‌های جنس قره‌قاط (گونه Vaccinium)، طبقه‌بندی نشده در جای دیگر",1349
الدربری ,1349
بویسن بری ,1349
بیل‌بری (قره‌قاط) ,1349
رووان‌بری ,1349
زرشک,1349
زرشک قائنات,1349
زرشک کوهی,1349
سرب (سرب اپل) ,1349
سرویس‌بری ,1349
فاکس‌بری ,1349
قره‌قاط ,1349
کاوبری ,1349
کران‌بری (قره‌قاط),1349
کیپ گوزبری ,1349
گونه زرشک معمولی ,1349
میرتل‌بری ,1349
"میوه بج، بج کوهی",1349
هاکل‌بری (قره‌قاط),1349
