matn,cpc
"??????? ???????? ????????? ? ?????????",0
??????? ??????? ? ???????? ? ?????????,01
????,011
????,0111
"????? ???",01111
"????? ???",01111
"????? ????",01112
???? ????????,01112
???? ?????,01112
???? ?????????,01112
???? ?????,01112
???? ???????,01112
???? ??? (???? ?????),01112
???? ????,01112
???? ???? ? ????,01112
???? ??????,01112
???? ???,01112
???,0112
"???? ???",01121
??? ??? ,01121
"???? ????",01122
??? ??????,01122
??? ??????,01122
??? ???,01122
????,0113
"????? ???",01131
??? ????,01131
"????? ????? ???? (???????) ",01132
????? ????? ????? ?????,01132
????? ????? ????? ????????,01132
????? ????? ????????? ????? ? ?????,01132
???? ????? ?????,01132
????? ??? ,01132
????? ???????,01132
????? ?????????,01132
????? ???,01132
????? ??????,01132
????? ?????? ,01132
????? ???,01132
????? ??????,01132
????? ???? ,01132
????? ????,01132
????? ????,01132
????? ???????,01132
????? ???????,01132
????? ???? ???? ??,01132
????? ???? ???? ?? (???? ??????),01132
????? ???? ???? ??,01132
????? ???? ????? ,01132
????? ???? ???????,01132
????? ???? ????,01132
????? ???? ?????? ,01132
????? ???,01132
????? ????????,01132
????? ??????,01132
????? ?????,01132
????? ????,01132
????? ????? ???? ??,01132
????? ????,01132
????? ????? 1,01132
????? ????? 2,01132
??? ??????? (?????),0114
"??? ???????? ???",01141
??? ??? ???????,01141
"??? ???????? ????",01142
???? ????,01142
????? ??? ??????,01142
????,01142
??? ??????? ??????,01142
??? ??????,01142
??? ?????? ???????,01142
??? ?????? ??????? (????),01142
??? ?????? ??????? (?????),01142
??? ?????? ??????? (?????),01142
??? ???????,01142
??? ?????,01142
???? ??? ??????? ,01142
??,0115
"??? ???",01151
??? ??,01151
"??? ????",01152
?? 13 ??????,01152
?? ????,01152
?? ????,01152
?? ???? ??????,01152
?? ?????????,01152
?? ????,01152
?? ???,01152
?? ?????????,01152
?? ?????,01152
?? ?????? 1,01152
?? ????,01152
?? ????,01152
?? ?????,01152
?? ????? ?? ????,01152
?? ????,01152
?? ??????,01152
?? ?????? ,01152
?? ?????,01152
?? ??????,01152
?? ???????,01152
??????????,01152
??????,0116
"??????? ???",01161
??? ??????,01161
"??????? ????",01162
??????,01162
????? (?? ????),0117
"?????? ???",01171
??? ????,01171
??? ?? ?? ??,01171
??? ????? ,01171
"?????? ????",01172
????? ,01172
????? ???? ?????? ,01172
????,0118
"????? ???",01181
??? ???? ,01181
"????? ????",01182
"????? ????",01182
???? ????,0119
???? ????,01190
???? ????,01190
????????,012
???????? ???? ?? ???????,0121
??????? ,01211
??????? ,01211
???????,01212
??? ???? ,01212
??? ???,01212
??? ???? ,01212
??? ????,01212
??? ????,01212
??? ?? ? ??? ?? ????????? (??????),01213
??? ??????,01213
??? ?????? (??????),01213
??????,01213
?????? ?????????,01213
???? ? ?????,01214
????? ????,01214
????? ????? ,01214
???? ??? ,01214
???? ????? ,01214
??????,01215
?????? ,01215
?????? ????? ,01215
???? ?????,01216
????? ????,01216
????,01216
????????? ,01216
???? ???????? ???? ?? ???????,01219
??? ???,01219
?????,01219
????? ????? ,01219
???? ,01219
??? ,01219
????? ,01219
????? ????? ,01219
????? ?????,01219
????? ??? ,01219
???? ,01219
????? ,01219
????? ????? ,01219
????? ,01219
????? ????? ,01219
"???????? ??????? ????? ???? ? ????? ",01219
???? ,01219
???? ??? ,01219
???? ????? ,01219
??????? ,01219
???? ????? ,01219
??? ??????,01219
????? ,01219
????? ????? ,01219
????,01219
???? ???????? ? ??????? ,01219
???? ????? ,01219
?????,01219
????? ????? ,01219
???????? ????   ,0122
???????,01221
??????? ,01221
??????? ???? ????,01221
??????? ??????,01221
????? ? ???? ???????? ???? ,01229
????? ?????,01229
????? ?????,01229
????? ???????,01229
????? ??????,01229
????? ?????,01229
????? ??? ???????,01229
????? ?????????,01229
????? ??????,01229
????? ????,01229
????? ?????,01229
????? ???????,01229
????? ?????,01229
??????,01229
?????,01229
????? ? ???? ???????? ?????? ,01229
????,01229
???????? ????? ????/??? ,0123
"????? ??? (??? ???????)",01231
????? ???? ??????? ,01231
???? ???????,01231
"????? ??? (??? ???????)",01231
???? ? ???? ????,01232
????? ????,01232
???? ???? ,01232
???? ???? ,01232
???? ?????????? ,01232
???? ???????,01232
???? ????,01232
???????,01233
????? ??????? ,01233
??????? ???????,01233
??????? ??????,01233
?????????? ,01234
????? ??????????,01234
?????????? ????,01234
?????????? ??????????,01234
"???????? ????????? ? ?????????",01235
????? ??? ,01235
??? ????,01235
??? ??????,01235
??? ???,01235
??? ??????,01235
??? ??????,01235
???? ???????? ????? ????/???,01239
????? ?????,01239
????? ????? ,01239
????????,01239
?????,01239
??? (???),01239
???????? ?? ??? ?????? ???,0124
"?????? ???",01241
????? ???,01241
"????? ???",01242
???? ???,01242
?????????,01242
???? ?????? ???,01249
????? ???,01249
???? ?????? ???,01249
"???????? ???????? ????? ?? ??????",0125
???? ? ????,01251
????,01251
???? ,01251
???? ?????,01251
???? ,01251
??? ???,01252
??? ???,01252
??? ??? ????? ,01252
????,01253
????? ????,01253
???? (???),01253
???? ???? ???? (???),01253
???? ???? ????? (???),01253
???? ???? ????,01253
???? ???? ??????,01253
???? ???? ?????? (???),01253
???? ????? ,01253
?????? ,01253
?????? ????? ,01253
????????? ? ???? ???????? ??????? ???,01254
?????????,01254
???? ???????? ?????? ???,01254
??? ???,01254
??? ??? ????,01254
??? ??? ?????,01254
"???? ???????? ???????? ????? ?? ??????? ????????? ???? ?? ??? ???? ",01259
????? ??? ,01259
??? ???? ,01259
??? ???? ,01259
??? ????? ,01259
????? ,01259
????? ????? ,01259
???????? ???? ?????? ????? ,01259
??? ???? ,01259
"??? ????????? ????? ??? ?????",0126
"??? ????????? ????? ??? ?????",01260
??? ??????,01260
??? ?????,01260
??? ???????,01260
??? ????,01260
??? ???,01260
??? ?????,01260
??? ???,01260
??? ?????,01260
??? ????,01260
??? ?????,01260
??? ?????,01260
??? ???????? ,01260
??? ??????? ?????????,01260
??? ??????? ???????,01260
??? ??????? ???? ??????,01260
??? ???,01260
??? ????,01260
??? ????,01260
??? ???????,01260
??? ????,01260
??? ????????,01260
??? ????,01260
??? ???,01260
??? ????,01260
??? ???,01260
??? ????,01260
??? ?????,01260
??? ??????????,01260
??? ????,01260
??? ?????,01260
??? ????,01260
???? ? ??????,0127
???? ? ??????,01270
????? ????,01270
???? ????????,01270
???? ?????? (?????),01270
???? ????,01270
"????????? ????? ????????? ???? ?? ??? ????",0129
"????????? ????? ????????? ???? ?? ??? ????",01290
??????,01290
??? ??????,01290
??? ????,01290
????? ????,01290
????? ?????,01290
?????? (???? ????????? ????? ???? ?????),01290
?????? (?? ???? ?????? ???? ????),01290
"???? ????? ???",01290
??? (?????) ,01290
??? ???,01290
??????? (???????? ????),01290
???? (??????),01290
???? ????? ,01290
??????? ? ????????????,013
???????? ??????? ? ????????????,0131
???????,01311
??????? ,01311
???,01312
??? ??????,01312
??? ????? ,01312
??? ????????,01312
??????? ? ????? ?????,01313
???????,01313
??? ????? ,01313
????,01314
????? ????,01314
????,01314
???? ????,01314
???? ????????,01314
???? ?? ?????,01314
???? ??????,01314
???? ??????,01314
???? ????,01314
???? ?????,01314
???? ?????,01314
???? ????,01314
???? ???????,01314
???? ????,01314
???? ???,01314
???? ???,01314
???? ??????,01314
???? ?????????,01314
???? ?????,01314
???? ???,01314
???? ??????,01314
???? ?????,01314
???? ????,01314
???? ???,01314
???? ????,01314
???? ??????,01314
???? ?????,01314
???,01314
???? ????? ????,01314
????? ,01315
????? ??????????,01315
????? ??? ???????,01315
????? ???? ??????,01315
????? ?????? ????????,01315
????? ?????,01315
?????,01316
 ????,01316
 ????????? ,01316
????? ,01316
??????,01317
??????,01317
??????,01318
??????,01318
"???? ???????? ??????? ? ????????????? ????????? ???? ?? ??? ????",01319
???,01319
????????? ,01319
???????,01319
???? ,01319
????? ,01319
???????,01319
?????? ,01319
?????? ,01319
???????? ,01319
??????,01319
???????? ,01319
???????,01319
???? ??? ,01319
?????? ,01319
?????????,01319
??????? ,01319
????? ,01319
?????? ,01319
????,01319
???? ?????? ,01319
???? ?? ?????,01319
???? ?? ???,01319
???? ???,01319
?????? ,01319
???????? ??????,0132
 ????? (??????) ? ?????????,01321
????? ????????? ,01321
?????,01321
?????? ,01321
????????? ?????,01321
????????? ??????,01321
???? ????? ? ???? ???,01322
????? ???????,01322
????? ?????????,01322
??????? (?????),01322
??????? (?????),01322
??????? (??????),01322
?????????,01322
??????,01323
????? ??????,01323
??????,01323
?????? (???????),01323
?????? ?????? (????),01323
?????? ??? ,01323
?????? ?????,01323
?????? ??????? (????),01323
?????? ??????,01323
"??????? ?????? ????",01324
????? ??????,01324
?????? ,01324
?????? (????),01324
?????? (???),01324
?????? (?????),01324
?????? (???????),01324
?????? (????),01324
?????? (????),01324
?????? ???? ???? ,01324
"???? ???????? ??????? ????????? ???? ?? ??? ???? ",01329
??????,01329
????? (????),01329
?????? ???? (??? ????),01329
???? ,01329
?????? ,01329
???? ?????? ,01329
???? ???? ?????? ??? ?????,01329
????? ,01329
?????,0133
?????,01330
?????,01330
????? ??????? ????,01330
????? ??????? ???? ,01330
????? ??????? ????? ,01330
????? ??????? ????  ,01330
????? ??????? (?????),01330
????? ??????? (??????),01330
????? ??????,01330
????? ??????,01330
????? ???????,01330
????? ?????,01330
????? ?????,01330
??????????? (??????) ? ???????? ??? ??????? ,0134
????? ????? (????? ????? ? ??????),01341
????? ????? ????,01341
????? ????? ????,01341
????? ????? ???? ,01341
?????,01341
??????,01341
????,01342
????,01342
???? ????,01342
"????? ???? ????? ???? ??? ????? ??????? ? ???? ???????? (???? ?????????)",01343
????? ??? ?????,01343
????? ??? ?????,01343
????,01343
???? ???????? ,01343
???? ???? ,01343
??? ,01343
??? ????,01343
??? ????,01343
???? ????? ???,01343
??????? ,01343
?????????,01344
????? ?????????,01344
????????? ??????,01344
????????? ????,01344
????????? ???????,01344
????????? ????????,01344
????????? ???????,01344
????????? ??????????,01344
???? ????? ?????????,01344
"???? ??????????? ? ???????? ??? ??????? (???? Vaccinium)? ????????? ???? ?? ??? ????",01349
??????? ,01349
????? ??? ,01349
??????? (???????) ,01349
????????? ,01349
????,01349
???? ??????,01349
???? ????,01349
??? (??? ???) ,01349
????????? ,01349
???????? ,01349
??????? ,01349
?????? ,01349
???????? (???????),01349
??? ?????? ,01349
???? ???? ?????? ,01349
????????? ,01349
"???? ??? ?? ????",01349
???????? (???????),01349
???????? ???????? ? ???????? ????????,0135
???,01351
????? ???,01351
??? ????,01351
??? ??????,01351
??? ?? ?????,01351
??? ???,01351
??? ?????,01351
??? ????,01351
??? ???? ?????,01351
??? ??????,01351
????? ? ??,01352
????? ??,01352
????? ?????,01352
?? ??? ?????,01352
?? ??? ???????,01352
?? ????????,01352
??? (????? ????),01352
???? ????? ??,01352
"????? ????? ????????? ",01352
????? ????????,01352
????? ??????,01352
????? ?????,01352
????? ?? ?? ???,01352
????? ??????,01352
????? ??? ??????,01352
????? ????????,01352
????? ?????,01352
????? ?????,01352
????? ?????? ????,01352
??????,01353
??????,01353
???? ,01353
????? ? ??????,01354
??????,01354
?????? ????,01354
?????,01354
????? ????,01354
??? ? ????,01355
????? ???? ,01355
????? ??? ,01355
??????,01355
????,01355
???? ???,01355
??? ,01355
??? ??????,01355
??? ?????,01355
"???? ????? ????? ? ????? (???? ????)",01356
????? ???,01356
???,01356
??? ??????,01356
??? ?????,01356
?????,01356
????????,01356
????? (???? ????),01356
????,01357
????,01357
???? ??? ??????,01357
???? ???? ??????,01357
???? ????,01357
???? ???? ?? ?????,01357
???? ?????,01357
???? ????? ???????,01357
???? ???,01357
????? ????,01357
"???? ???????? ???????? ? ???????? ????????? ????????? ???? ?? ??? ????",01359
?????,01359
 ????? ?????,01359
??? ????- ????,01359
??????,01359
???????,01359
????????? ,01359
???? ,01359
???? ,01359
???? ??????,01359
????? (????? ?????),01359
??? ????,0136
??? ????,01360
??? ????,01360
??? ????? ???,01360
??? ????? ????,01360
??? ????? ???????? ????????,01360
??? ??????????,01360
??? ??????,01360
??? ???,01360
??? ?????,01360
??? ????,01360
??? ??,01360
??? ????,01360
??? ????,01360
??? ????,01360
??? ??? ????,01360
??? ??? ????,01360
??? ?????????,01360
??? ?????,01360
??? ???????? ?????,01360
??? ??????,01360
??? ??????,01360
??? ?????,01360
??? ???? ???????? ?????,01360
??? ????,01360
??? ??? ,01360
??? ?????,01360
??? ????????,01360
??? ??????,01360
??? ????,01360
??? ?????,01360
??? ????,01360
??? ????,01360
??? ????,01360
??? ????,01360
??? ????,01360
??? ???????,01360
??? ?????,01360
??? ????????,01360
??? ?????,01360
??? ??????,01360
??? ???????? ????,01360
??? ???????? ?????,01360
??? ????,01360
??? ???,01360
??? ???????,01360
???????,01360
???????,01360
"???????? ????? (????? ????????????? ????? ?????? ? ????? ??????)? ?? ????",0137
"?????? ?? ????",01371
????? ????? ?? ????,01371
????? (????) ?? ????,01371
????? (????) ?? ????,01371
????? (??????) ?? ????,01371
"????? ?????? ?? ????",01372
"?????? ????? ?? ????",01372
"????????? ?? ????",01373
"????????? ???? ??? ???????? ?? ???? ",01373
"????? ?? ????",01374
"????? ?? ????",01374
"????? ?? ????",01375
????? ???? ?? ???? ,01375
???? ????????????? ?? ???? ,01375
???? ????????,01375
???? ????????? ?? ????,01375
???? ????? ?? ????,01375
???? ????? ?? ????,01375
???? ????????? ?? ????,01375
???? ?????? ???? ?? ????,01375
???? ????? ?? ????,01375
???? ????? ?? ????,01375
???? ????? ?????? ?? ????,01375
???? ???????? ?? ????,01375
???? ????? ?? ????,01375
???? ?????? ?? ????,01375
???? ?????????? ?? ????,01375
???? ???????? ?? ????,01375
???? ?? ?????? ?? ???? ,01375
???? ????? ?? ????,01375
???? ????? ?? ????,01375
