date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,y
1/1/2006,0,47,0,0,0,0,40,30,37,21,39,0,31,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0,28,0,59,0,0,0,0,0,23,0,25,0,0,0,0,0,0,37,0,0,0,448643.6813
1/2/2006,0,70,0,0,23,0,53,0,39,67,27,0,0,0,0,34,0,11,0,18,0,21,0,33,0,0,66,6,0,0,0,31,12,0,0,0,21,0,46,0,0,30,0,0,32,70,0,0,0,842363.5345
1/3/2006,0,69,0,0,13,0,51,11,18,30,43,0,14,16,0,0,0,0,0,42,16,22,0,0,31,16,56,0,0,0,22,0,0,0,0,0,10,0,69,7,0,27,0,0,16,87,0,0,0,752549.9018
1/4/2006,0,74,0,0,13,29,39,0,0,10,46,34,0,0,13,9,0,0,0,35,23,20,0,0,0,0,77,0,7,12,31,24,20,0,0,4,5,8,59,8,0,0,0,37,15,50,0,11,0,1320303.326
1/5/2006,0,81,24,0,13,10,28,10,23,37,49,28,0,0,0,0,0,0,0,11,28,34,0,0,0,0,59,19,0,14,0,0,0,10,0,5,17,0,66,0,0,19,0,0,34,68,10,13,0,1103541.464
1/6/2006,0,91,24,17,31,0,51,0,15,25,44,0,0,0,0,0,0,0,16,12,18,19,0,0,0,8,45,23,9,11,17,0,0,0,0,4,12,0,47,10,0,41,0,0,0,54,13,0,0,1214908.741
1/7/2006,17,0,0,0,0,0,18,0,15,36,45,0,0,0,23,0,0,0,0,0,0,26,33,0,0,10,59,0,0,0,0,0,15,0,26,19,24,0,53,0,0,0,0,0,0,69,0,0,0,863728.6041
1/8/2006,24,33,14,41,0,0,80,15,27,0,49,0,26,0,0,11,0,0,17,0,21,54,36,0,60,20,42,0,0,0,41,0,13,27,0,15,10,0,57,0,0,0,0,0,0,59,0,0,0,470144.5067
1/9/2006,18,59,10,0,33,0,38,0,0,59,67,0,0,0,0,0,0,0,0,0,16,26,0,0,13,0,52,0,0,0,14,9,0,0,0,9,18,5,70,0,0,14,0,17,30,48,12,10,41,1341688.475
1/10/2006,0,78,0,0,0,15,69,0,0,26,26,0,20,0,0,0,0,0,0,0,16,54,0,0,24,9,67,5,12,5,32,0,0,0,0,4,4,0,63,0,0,0,0,17,0,58,17,0,9,1141133.818
1/11/2006,0,93,0,0,0,0,40,0,28,38,56,14,54,0,0,0,0,0,16,30,0,40,0,0,20,7,82,0,0,0,39,0,0,0,0,8,9,0,95,0,0,20,0,0,18,59,0,0,8,1330230.881
1/12/2006,0,69,0,0,34,55,71,15,18,36,31,0,0,0,0,8,0,0,0,0,50,39,31,0,27,8,43,0,0,9,27,26,13,20,20,11,12,0,100,0,0,0,0,0,0,72,29,0,0,910192.3832
1/13/2006,0,70,0,0,20,0,22,0,32,48,40,0,0,0,0,0,0,0,0,0,45,43,0,0,0,0,52,0,0,6,38,0,12,0,0,0,18,0,55,4,19,0,0,16,28,77,13,0,0,1118913.166
1/14/2006,0,29,44,0,0,0,29,0,46,22,0,0,0,0,0,17,0,0,0,0,0,0,54,42,0,0,80,0,0,0,95,0,32,0,15,8,15,0,49,0,55,0,0,27,0,30,0,0,14,996184.4804
1/15/2006,0,25,0,0,23,0,46,39,0,35,30,0,0,0,0,13,0,0,19,0,0,58,57,0,0,9,55,0,0,0,15,0,0,0,0,9,15,0,62,0,0,42,0,0,0,92,0,0,0,695275.9319
1/16/2006,19,40,11,0,24,0,49,0,42,28,21,30,36,0,0,19,0,0,0,10,59,63,0,0,0,0,60,0,0,5,13,0,0,0,13,6,16,3,67,0,0,0,14,36,35,75,18,0,0,1034453.841
1/17/2006,0,23,0,0,16,0,51,0,33,49,64,0,0,0,0,0,0,0,0,0,0,27,0,0,0,9,58,0,0,0,21,8,0,0,0,0,17,0,79,5,27,23,17,0,23,82,0,0,8,866755.1379
1/18/2006,0,72,0,0,33,0,40,0,21,42,53,0,0,0,0,0,0,0,0,0,0,65,0,0,15,5,34,0,0,8,45,15,0,0,0,6,16,0,86,4,0,19,0,18,25,78,35,0,24,1640202.764
1/19/2006,0,98,0,0,42,9,52,0,13,0,48,0,0,57,0,0,0,0,0,10,19,40,49,0,35,0,63,0,0,16,27,11,0,0,0,0,21,0,59,4,0,0,0,28,22,60,14,0,0,1444432.11
1/20/2006,13,46,27,0,32,0,0,13,14,23,56,0,0,0,29,8,0,0,0,0,16,28,0,24,0,13,70,0,0,11,36,11,0,0,0,4,18,0,67,0,0,0,0,0,46,50,0,19,0,879655.2842
1/21/2006,0,40,0,0,0,0,49,0,24,0,22,0,0,59,0,0,0,0,0,0,33,84,22,0,0,0,43,10,0,0,60,16,0,0,0,0,0,0,45,0,0,0,0,30,0,56,29,0,0,1195075.163
1/22/2006,0,29,0,0,0,58,17,0,37,17,61,0,20,0,0,0,0,0,0,0,0,67,0,0,40,0,68,0,0,0,50,0,25,0,67,9,12,0,55,9,0,27,0,21,0,80,29,0,24,1673841.727
1/23/2006,0,72,0,0,46,0,77,0,43,70,32,12,0,0,18,0,0,12,0,19,0,26,0,35,0,0,77,0,0,0,29,11,0,0,0,7,21,0,86,0,0,40,0,0,21,78,0,0,8,1013238.603
1/24/2006,0,60,0,0,36,0,59,19,23,40,20,0,19,13,0,0,0,0,0,0,0,69,41,0,0,8,66,0,0,15,67,0,10,23,0,3,12,0,79,0,0,29,0,23,26,68,12,0,0,1068433.413
1/25/2006,0,48,0,0,24,0,37,0,0,9,53,12,0,0,0,12,0,0,0,36,24,70,34,0,19,12,59,0,0,10,25,0,0,0,0,5,20,0,73,0,0,15,0,22,25,67,20,44,0,1739011.97
1/26/2006,0,69,36,0,0,0,51,0,14,45,36,0,22,0,0,0,0,0,0,17,18,66,30,0,0,13,60,0,0,0,27,0,0,0,0,0,18,3,68,0,0,0,16,17,0,54,0,0,0,733938.499
1/27/2006,35,80,0,0,22,35,29,0,25,42,13,0,24,0,0,12,0,0,0,0,0,0,0,24,0,7,93,0,0,6,16,9,31,11,0,0,15,0,53,0,61,15,19,0,16,78,12,0,10,1045578.131
1/28/2006,0,33,0,0,0,15,0,0,0,49,0,24,0,0,0,16,0,0,0,0,0,24,22,32,0,30,51,18,0,0,0,14,0,0,0,0,18,0,52,15,48,0,0,0,0,0,0,0,0,929591.9058
1/29/2006,0,28,42,0,0,0,25,0,0,0,47,0,0,0,0,0,0,0,0,0,54,71,23,17,0,6,63,7,0,0,31,20,0,0,0,10,7,8,54,0,0,0,0,34,0,37,0,13,0,829240.4636
1/30/2006,0,73,0,0,16,0,60,12,21,44,41,0,0,0,0,0,0,14,0,21,19,48,0,21,23,5,53,0,0,0,12,0,0,0,0,8,15,0,74,0,0,0,53,0,43,76,0,7,11,346507.3031
1/31/2006,0,61,0,0,29,0,54,9,16,31,81,0,0,0,0,12,0,0,13,7,58,16,0,0,0,0,82,0,0,5,19,8,15,0,11,3,12,0,94,0,0,15,15,19,28,75,0,21,0,979111.7895
2/1/2006,0,61,0,0,16,0,77,22,13,31,37,0,13,36,12,21,0,0,0,18,0,27,36,31,22,0,52,16,0,0,38,0,0,0,0,12,16,0,95,0,0,0,0,24,24,67,12,0,8,863241.3609
2/2/2006,0,53,0,0,34,0,11,0,17,22,0,0,20,0,17,0,0,0,0,14,14,16,50,0,14,0,68,0,0,11,30,0,0,0,0,13,15,3,64,0,0,0,25,45,30,79,0,0,0,1170717.391
2/3/2006,0,58,0,0,0,20,59,0,0,48,34,0,0,25,0,9,0,0,0,11,51,0,0,0,30,7,73,0,0,0,38,0,11,0,0,0,21,0,61,0,0,0,0,19,0,57,0,10,9,848304.1643
2/4/2006,0,15,0,0,0,0,25,62,0,22,27,0,0,0,0,0,0,0,0,0,0,36,18,19,0,0,47,0,0,0,33,35,0,0,0,10,11,5,44,0,0,25,84,44,0,46,0,23,0,227606.4315
2/5/2006,0,50,35,0,0,0,0,0,0,37,0,0,0,0,16,0,0,0,0,0,0,39,0,0,0,0,30,0,0,0,31,0,0,0,18,5,14,0,44,0,0,0,0,0,0,12,0,0,0,987849.3088
2/6/2006,0,54,0,0,34,0,49,0,36,35,26,0,14,23,0,0,0,7,0,10,50,48,16,0,0,15,70,0,8,0,53,0,0,17,0,10,22,5,79,0,20,0,17,0,60,70,27,0,0,782825.2502
2/7/2006,11,76,0,0,29,0,41,0,27,26,42,30,0,0,0,0,0,0,0,20,25,35,31,0,0,8,83,0,0,10,31,12,0,29,0,0,14,9,69,0,0,17,0,0,0,69,10,0,0,1256468.712
2/8/2006,15,67,0,0,41,0,34,0,10,79,61,0,0,0,0,7,0,0,0,29,13,21,24,13,0,0,59,0,6,0,14,0,0,0,0,9,12,0,79,0,21,53,0,16,0,49,0,0,0,1220263.5
2/9/2006,0,56,0,0,25,0,68,0,16,26,35,0,13,0,15,0,0,0,0,10,0,57,30,0,0,0,61,0,0,8,27,0,0,12,23,0,22,7,77,3,50,17,0,32,29,44,0,13,0,1496643.145
2/10/2006,0,78,0,0,0,11,36,0,19,35,0,0,0,0,0,19,0,0,11,0,31,25,34,0,0,0,63,0,0,8,12,0,0,9,0,12,22,0,59,0,0,17,0,0,27,30,21,0,0,1385419.714
2/11/2006,0,15,0,0,14,0,48,0,0,44,47,0,0,0,30,26,0,15,43,0,0,0,43,0,28,8,33,0,0,0,0,18,16,0,0,9,0,0,28,8,0,26,0,0,37,44,0,33,0,1730024.183
2/12/2006,0,22,0,0,0,0,55,13,23,47,29,0,29,0,0,0,0,50,0,0,0,19,0,19,0,0,52,0,0,0,0,0,13,0,15,0,14,6,44,0,0,70,19,20,0,50,0,42,16,1589592.764
2/13/2006,9,49,0,0,41,0,67,0,25,38,58,0,57,0,17,0,0,0,0,16,0,37,12,0,27,0,80,15,4,18,42,11,0,0,0,0,10,0,68,0,0,14,13,34,0,48,14,0,0,1658426.594
