,economy,time,AG.LND.TOTL.K2,EN.ATM.GHGT.KT.CE,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,IS.RRS.TOTL.KM,NY.GDP.MKTP.KD
0,ABW,YR2000,180.0,,,,,2735726894.36234
1,ABW,YR2001,180.0,,,,,2850135065.34526
2,ABW,YR2002,180.0,,,,,2823202580.63466
3,ABW,YR2003,180.0,,,,,2854554386.72823
4,ABW,YR2004,180.0,,,,,3062757846.13129
5,ABW,YR2005,180.0,,,,,3051023207.85273
6,ABW,YR2006,180.0,,,,,3085420813.52388
7,ABW,YR2007,180.0,,,,,3180746244.1035
8,ABW,YR2008,180.0,,,,,3239136973.90597
9,ABW,YR2009,180.0,,,,,2860878914.12265
10,ABW,YR2010,180.0,,,,,2782678056.16304
11,ABW,YR2011,180.0,,,,,2876433106.04638
12,ABW,YR2012,180.0,,,,,2846495186.38325
13,ABW,YR2013,180.0,,,,,3029567006.90354
14,ABW,YR2014,180.0,,,,,2981500664.9605
15,ABW,YR2015,180.0,,,,,2962907262.56983
16,ABW,YR2016,180.0,,,,,3013858130.38083
17,ABW,YR2017,180.0,,,,,3226290923.08041
18,ABW,YR2018,180.0,,,,,3303132465.93437
19,ABW,YR2019,180.0,,,,,3227066714.50225
20,ABW,YR2020,180.0,,,,,2453132846.89402
21,ABW,YR2021,180.0,,,,,3131162991.36718
22,AFE,YR2000,14571611.0,936733.642312,,,,511817344486.484
23,AFE,YR2001,14571611.0,975817.760057,,,,530429854471.673
24,AFE,YR2002,14571611.0,1022654.885109,,,,551269572100.379
25,AFE,YR2003,14571611.0,1062715.693142,,,,568392769856.548
26,AFE,YR2004,14720190.922,1105457.222981,,,,599800056399.211
27,AFE,YR2005,14720236.092,1132622.365732,,,,636577268540.257
28,AFE,YR2006,14720228.252,1133480.604883,,,,678437418925.66
29,AFE,YR2007,14720274.665,1197721.01028,,,,723204961899.834
30,AFE,YR2008,14720236.89,1257408.971715,,,,754513172395.923
31,AFE,YR2009,14720269.284,1239747.20567,,,,759495760493.713
32,AFE,YR2010,14720957.055,1296316.122926,,,,798664754159.611
33,AFE,YR2011,14721207.05,1299170.768058,,,,828230148633.093
34,AFE,YR2012,14845137.142,1308707.977083,,,,835532442009.735
35,AFE,YR2013,14845099.326,1331479.401125,,,,870763565615.522
36,AFE,YR2014,14845052.467,1358902.154959,,,,905660085547.335
37,AFE,YR2015,14845106.128,1356434.329261,,,,932513471557.123
38,AFE,YR2016,14845113.968,1370883.205748,,,,953206081711.334
39,AFE,YR2017,14845102.053,1386782.252953,,,,977721984314.083
40,AFE,YR2018,14845117.143,1399770.836953,,,,1002080506885.49
41,AFE,YR2019,14845129.404,1430850.662142,,,,1022529131718.11
42,AFE,YR2020,14845090.094,1389908.120222,,,,993908151992.364
43,AFE,YR2021,14845090.094,,,,,1036650583949.43
44,AFG,YR2000,652230.0,14205.32527,,,,
45,AFG,YR2001,652230.0,12604.75975,,,,
46,AFG,YR2002,652230.0,15255.39353,,,,7228795956.44078
47,AFG,YR2003,652230.0,15961.0327,,,,7867263297.8222
48,AFG,YR2004,652230.0,15572.01238,,,,7978515682.69705
49,AFG,YR2005,652230.0,16635.76076,,,,8874480241.02355
50,AFG,YR2006,652230.0,17264.16633,,,,9349921933.98889
51,AFG,YR2007,652230.0,18218.84691,,,,10642672018.0685
52,AFG,YR2008,652230.0,21349.18799,,,,11060395172.9653
53,AFG,YR2009,652230.0,24313.53007,,,,13426272142.8283
54,AFG,YR2010,652230.0,28585.90265,,,,15354612620.8467
55,AFG,YR2011,652230.0,32446.46096,,,,15420077746.4016
56,AFG,YR2012,652230.0,30928.57237,,,,17386490329.926
57,AFG,YR2013,652230.0,30430.30008,,,,18360263258.3072
58,AFG,YR2014,652230.0,31165.8158,,,,18860496592.515
59,AFG,YR2015,652230.0,31619.07371,,,,19134221744.5294
60,AFG,YR2016,652230.0,30864.98363,,,,19566715275.9301
61,AFG,YR2017,652230.0,31750.55044,,,,20084646855.8018
62,AFG,YR2018,652230.0,32580.49106,,,,20323499125.6969
63,AFG,YR2019,652230.0,32736.76917,,,,21118473812.444
64,AFG,YR2020,652230.0,31119.04539,,,,20621957232.4181
65,AFG,YR2021,652230.0,,,,,16345202647.5247
66,AFW,YR2000,9045780.0,593150.734615,,,,322253240468.176
67,AFW,YR2001,9045780.0,594930.55147,,,,339021746527.332
68,AFW,YR2002,9045780.0,581223.139454,,,,372646875632.923
69,AFW,YR2003,9045780.0,620126.510381,,,,393275021278.206
70,AFW,YR2004,9045780.0,628678.068591,,,,424723469728.919
71,AFW,YR2005,9045780.0,651416.467304,,,,449463362683.927
72,AFW,YR2006,9045780.0,643168.796801,,,,473620059915.228
73,AFW,YR2007,9045780.0,636457.782401,,,,499784319285.629
74,AFW,YR2008,9045780.0,647346.304343,,,,531168734058.989
75,AFW,YR2009,9045780.0,637877.440356,,,,564548018702.176
76,AFW,YR2010,9045780.0,681727.059768,,,,603892965530.374
77,AFW,YR2011,9045780.0,700647.916965,,,,633174611213.834
78,AFW,YR2012,9045780.0,711773.66187,,,,665697426270.634
79,AFW,YR2013,9045780.0,738287.609974,,,,706351653121.61
80,AFW,YR2014,9045780.0,758995.190518,,,,748211927951.894
81,AFW,YR2015,9045780.0,768884.626243,,,,769263195356.949
82,AFW,YR2016,9045780.0,799141.75294,,,,770356255503.577
83,AFW,YR2017,9045780.0,808226.501123,,,,787968675888.969
84,AFW,YR2018,9045780.0,834128.685418,,,,810337757614.177
85,AFW,YR2019,9045780.0,862224.588584,,,,836276010162.181
86,AFW,YR2020,9045773.0,868687.389867,,,,828430388804.133
87,AFW,YR2021,9045773.0,,,,,861371411041.672
88,AGO,YR2000,1246700.0,57982.70087,,,,31304495235.1451
89,AGO,YR2001,1246700.0,58084.77197,,,,32621161852.7594
90,AGO,YR2002,1246700.0,60758.93298,,,,37079068301.7327
91,AGO,YR2003,1246700.0,66179.73478,,,,38187732443.9545
92,AGO,YR2004,1246700.0,67964.75818,,,,42369289148.8383
93,AGO,YR2005,1246700.0,67766.24188,,,,48737393303.9054
94,AGO,YR2006,1246700.0,66733.4014,,,,54366562229.4727
